Job,Level,Nationality,Gender,Version,Similarity_Score,Filename,JD_Filename
CC,JR,AL,F,V1,0.6965,CC_JR_AL_F_V1.txt,JD_CC_JR.txt
CC,JR,AL,F,V2,0.5675,CC_JR_AL_F_V2.txt,JD_CC_JR.txt
CC,JR,AL,F,V3,0.4659,CC_JR_AL_F_V3.txt,JD_CC_JR.txt
CC,JR,AL,M,V1,0.703,CC_JR_AL_M_V1.txt,JD_CC_JR.txt
CC,JR,AL,M,V2,0.5713,CC_JR_AL_M_V2.txt,JD_CC_JR.txt
CC,JR,AL,M,V3,0.4702,CC_JR_AL_M_V3.txt,JD_CC_JR.txt
CC,JR,BR,F,V1,0.6992,CC_JR_BR_F_V1.txt,JD_CC_JR.txt
CC,JR,BR,F,V2,0.5698,CC_JR_BR_F_V2.txt,JD_CC_JR.txt
CC,JR,BR,F,V3,0.483,CC_JR_BR_F_V3.txt,JD_CC_JR.txt
CC,JR,BR,M,V1,0.7076,CC_JR_BR_M_V1.txt,JD_CC_JR.txt
CC,JR,BR,M,V2,0.5741,CC_JR_BR_M_V2.txt,JD_CC_JR.txt
CC,JR,BR,M,V3,0.4888,CC_JR_BR_M_V3.txt,JD_CC_JR.txt
CC,JR,IT,F,V1,0.6691,CC_JR_IT_F_V1.txt,JD_CC_JR.txt
CC,JR,IT,F,V2,0.5557,CC_JR_IT_F_V2.txt,JD_CC_JR.txt
CC,JR,IT,F,V3,0.4613,CC_JR_IT_F_V3.txt,JD_CC_JR.txt
CC,JR,IT,M,V1,0.6749,CC_JR_IT_M_V1.txt,JD_CC_JR.txt
CC,JR,IT,M,V2,0.5593,CC_JR_IT_M_V2.txt,JD_CC_JR.txt
CC,JR,IT,M,V3,0.4657,CC_JR_IT_M_V3.txt,JD_CC_JR.txt
CC,JR,MO,F,V1,0.6837,CC_JR_MO_F_V1.txt,JD_CC_JR.txt
CC,JR,MO,F,V2,0.5693,CC_JR_MO_F_V2.txt,JD_CC_JR.txt
CC,JR,MO,F,V3,0.4705,CC_JR_MO_F_V3.txt,JD_CC_JR.txt
CC,JR,MO,M,V1,0.6894,CC_JR_MO_M_V1.txt,JD_CC_JR.txt
CC,JR,MO,M,V2,0.5728,CC_JR_MO_M_V2.txt,JD_CC_JR.txt
CC,JR,MO,M,V3,0.4741,CC_JR_MO_M_V3.txt,JD_CC_JR.txt
CC,MGR,AL,F,V1,0.7777,CC_MGR_AL_F_V1.txt,JD_CC_MGR.txt
CC,MGR,AL,F,V2,0.6958,CC_MGR_AL_F_V2.txt,JD_CC_MGR.txt
CC,MGR,AL,F,V3,0.589,CC_MGR_AL_F_V3.txt,JD_CC_MGR.txt
CC,MGR,AL,M,V1,0.7799,CC_MGR_AL_M_V1.txt,JD_CC_MGR.txt
CC,MGR,AL,M,V2,0.6993,CC_MGR_AL_M_V2.txt,JD_CC_MGR.txt
CC,MGR,AL,M,V3,0.5915,CC_MGR_AL_M_V3.txt,JD_CC_MGR.txt
CC,MGR,BR,F,V1,0.7778,CC_MGR_BR_F_V1.txt,JD_CC_MGR.txt
CC,MGR,BR,F,V2,0.7026,CC_MGR_BR_F_V2.txt,JD_CC_MGR.txt
CC,MGR,BR,F,V3,0.5945,CC_MGR_BR_F_V3.txt,JD_CC_MGR.txt
CC,MGR,BR,M,V1,0.7807,CC_MGR_BR_M_V1.txt,JD_CC_MGR.txt
CC,MGR,BR,M,V2,0.7078,CC_MGR_BR_M_V2.txt,JD_CC_MGR.txt
CC,MGR,BR,M,V3,0.5981,CC_MGR_BR_M_V3.txt,JD_CC_MGR.txt
CC,MGR,IT,F,V1,0.7517,CC_MGR_IT_F_V1.txt,JD_CC_MGR.txt
CC,MGR,IT,F,V2,0.6768,CC_MGR_IT_F_V2.txt,JD_CC_MGR.txt
CC,MGR,IT,F,V3,0.5822,CC_MGR_IT_F_V3.txt,JD_CC_MGR.txt
CC,MGR,IT,M,V1,0.7531,CC_MGR_IT_M_V1.txt,JD_CC_MGR.txt
CC,MGR,IT,M,V2,0.68,CC_MGR_IT_M_V2.txt,JD_CC_MGR.txt
CC,MGR,IT,M,V3,0.5846,CC_MGR_IT_M_V3.txt,JD_CC_MGR.txt
CC,MGR,MO,F,V1,0.7616,CC_MGR_MO_F_V1.txt,JD_CC_MGR.txt
CC,MGR,MO,F,V2,0.6967,CC_MGR_MO_F_V2.txt,JD_CC_MGR.txt
CC,MGR,MO,F,V3,0.5857,CC_MGR_MO_F_V3.txt,JD_CC_MGR.txt
CC,MGR,MO,M,V1,0.7628,CC_MGR_MO_M_V1.txt,JD_CC_MGR.txt
CC,MGR,MO,M,V2,0.7001,CC_MGR_MO_M_V2.txt,JD_CC_MGR.txt
CC,MGR,MO,M,V3,0.588,CC_MGR_MO_M_V3.txt,JD_CC_MGR.txt
CC,MID,AL,F,V1,0.7394,CC_MID_AL_F_V1.txt,JD_CC_MID.txt
CC,MID,AL,F,V2,0.6836,CC_MID_AL_F_V2.txt,JD_CC_MID.txt
CC,MID,AL,F,V3,0.4668,CC_MID_AL_F_V3.txt,JD_CC_MID.txt
CC,MID,AL,M,V1,0.7406,CC_MID_AL_M_V1.txt,JD_CC_MID.txt
CC,MID,AL,M,V2,0.6895,CC_MID_AL_M_V2.txt,JD_CC_MID.txt
CC,MID,AL,M,V3,0.4675,CC_MID_AL_M_V3.txt,JD_CC_MID.txt
CC,MID,BR,F,V1,0.7425,CC_MID_BR_F_V1.txt,JD_CC_MID.txt
CC,MID,BR,F,V2,0.6886,CC_MID_BR_F_V2.txt,JD_CC_MID.txt
CC,MID,BR,F,V3,0.4773,CC_MID_BR_F_V3.txt,JD_CC_MID.txt
CC,MID,BR,M,V1,0.7441,CC_MID_BR_M_V1.txt,JD_CC_MID.txt
CC,MID,BR,M,V2,0.6961,CC_MID_BR_M_V2.txt,JD_CC_MID.txt
CC,MID,BR,M,V3,0.4789,CC_MID_BR_M_V3.txt,JD_CC_MID.txt
CC,MID,IT,F,V1,0.7143,CC_MID_IT_F_V1.txt,JD_CC_MID.txt
CC,MID,IT,F,V2,0.6643,CC_MID_IT_F_V2.txt,JD_CC_MID.txt
CC,MID,IT,F,V3,0.4658,CC_MID_IT_F_V3.txt,JD_CC_MID.txt
CC,MID,IT,M,V1,0.7143,CC_MID_IT_M_V1.txt,JD_CC_MID.txt
CC,MID,IT,M,V2,0.67,CC_MID_IT_M_V2.txt,JD_CC_MID.txt
CC,MID,IT,M,V3,0.4667,CC_MID_IT_M_V3.txt,JD_CC_MID.txt
CC,MID,MO,F,V1,0.7359,CC_MID_MO_F_V1.txt,JD_CC_MID.txt
CC,MID,MO,F,V2,0.6839,CC_MID_MO_F_V2.txt,JD_CC_MID.txt
CC,MID,MO,F,V3,0.4789,CC_MID_MO_F_V3.txt,JD_CC_MID.txt
CC,MID,MO,M,V1,0.7363,CC_MID_MO_M_V1.txt,JD_CC_MID.txt
CC,MID,MO,M,V2,0.6896,CC_MID_MO_M_V2.txt,JD_CC_MID.txt
CC,MID,MO,M,V3,0.4802,CC_MID_MO_M_V3.txt,JD_CC_MID.txt
CC,SR,AL,F,V1,0.8145,CC_SR_AL_F_V1.txt,JD_CC_SR.txt
